distrito;subprefeitura;populacao;area;extrema_pobreza;emprego_por_habitante_distrito;emprego_por_habitante_subprefeitura;domicilios_distrito;domicilios_em_favelas_distrito;domicilios_subprefeitura;domicilios_em_favelas_subprefeitura;idh;densidade_populacional_distrito;densidade_populacional_subprefeitura;quadro_analitico;perimetro_de_acao
Jardim Helena;São Miguel;90588;9,1;10854;0,2027;0,1824;42217;12,4;116952;7,2;0,736;0,01;0,013;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-MP.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-MP.pdf
São Miguel;São Miguel;89364;7,5;17870;0,2176;0,1824;28089;2,9;116952;7,2;0,736;0,012;0,013;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-MP.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-MP.pdf
Vila Jacuí;São Miguel;145443;7,7;8509;0,0973;0,1824;46646;5;116952;7,2;0,736;0,019;0,013;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-MP.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-MP.pdf
Sapopemba;Sapopemba;289284;13,5;2204;0,0856;0,0856;92078;19,8;92078;19,85;Sem dados;0,021;0,021;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-SB.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-SB.pdf
Bela Vista;Sé;72925;2,6;4058;1,5293;3,4966;33241;0;197600;0,23;0,889;0,028;0,017;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-SE.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-SE.pdf
Bom Retiro;Sé;38449;4;3059;4,7011;3,4966;12285;3,1;197600;0,23;0,889;0,01;0,017;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-SE.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-SE.pdf
Cambuci;Sé;40357;3,9;1074;1,0072;3,4966;13961;0;197600;0,23;0,889;0,01;0,017;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-SE.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-SE.pdf
Consolação;Sé;57421;3,7;255;3,1031;3,4966;28494;0;197600;0,23;0,889;0,016;0,017;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-SE.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-SE.pdf
Liberdade;Sé;72503;3,7;1483;0,7953;3,4966;30115;0,3;197600;0,23;0,889;0,02;0,017;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-SE.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-SE.pdf
República;Sé;61478;2,3;4872;2,4209;3,4966;29775;0;197600;0,23;0,889;0,027;0,017;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-SE.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-SE.pdf
Santa Cecília;Sé;88170;3,9;4385;1,0911;3,4966;39265;0;197600;0,23;0,889;0,023;0,017;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-SE.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-SE.pdf
Sé;Sé;26423;2,1;4953;31,5862;3,4966;10464;0;197600;0,23;0,889;0,013;0,017;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-SE.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-SE.pdf
Vila Guilherme;Vila Maria/Vila Guilherme;56846;6,9;2325;0,8561;0,9367;18963;2,1;146317;0,67;0,793;0,008;0,011;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-MG.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-MG.pdf
Vila Maria;Vila Maria/Vila Guilherme;113931;11,8;7118;0,5641;0,9367;37216;13,4;146317;0,67;0,793;0,01;0,011;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-MG.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-MG.pdf
Vila Medeiros;Vila Maria/Vila Guilherme;123979;7,7;5324;0,1006;0,9367;40105;3;146317;0,67;0,793;0,016;0,011;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-MG.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-MG.pdf
Moema;Vila Mariana;88949;9;125;1,1041;0,4222;38445;0;96284;6,86;0,938;0,01;0,013;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-VM.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-VM.pdf
Saúde;Vila Mariana;133944;8,9;1298;0,6141;0,4222;52701;1;96284;6,86;0,938;0,015;0,013;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-VM.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-VM.pdf
Vila Mariana;Vila Mariana;132122;8,6;1093;1,1495;0,4222;55171;0,9;96284;6,86;0,938;0,015;0,013;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-VM.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-VM.pdf
São Lucas;Vila Prudente;142953;9,9;10279;0,1504;0,2365;48580;4,5;85137;4,85;0,785;0,014;0,014;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2016/03/QA-VP.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-VP.pdf
Vila Prudente;Vila Prudente;104668;9,9;4553;0,3537;0,2365;36557;5,4;85137;4,85;0,785;0,011;0,014;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2016/03/QA-VP.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-VP.pdf
