distrito;subprefeitura;populacao;area;extrema_pobreza;emprego_por_habitante_distrito;emprego_por_habitante_subprefeitura;domicilios_distrito;domicilios_em_favelas_distrito;domicilios_subprefeitura;domicilios_em_favelas_subprefeitura;idh;densidade_populacional_distrito;densidade_populacional_subprefeitura;quadro_analitico;perimetro_de_acao
Cidade Tiradentes;Cidade Tiradentes;233110;15;17662;0,0381;0,0381;72032;4,5;72032;4,47;0,708;0,016;0,016;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-CT.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2016/03/PA-CT-.pdf
Ermelino Matarazzo;Ermelino Matarazzo;118268;8,7;8703;0,1041;0,1725;37700;9;67037;6,6;0,777;0,014;0,014;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2016/03/QA-EM-.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2016/03/PA-EM-.pdf
Ponte Rasa;Ermelino Matarazzo;90145;6,4;4562;0,2582;0,1725;29337;3,5;67037;6,6;0,777;0,014;0,014;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2016/03/QA-EM-.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2016/03/PA-EM-.pdf
Brasilândia;Freguesia/Brasilândia;280278;21;19584;0,0795;0,1356;85808;26,6;132632;18,63;0,762;0,013;0,013;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2016/03/QA-FO.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2016/03/PA-FO.pdf
Freguesia do Ó;Freguesia/Brasilândia;140324;10,5;4685;0,2403;0,1356;46824;4,1;132632;18,63;0,762;0,013;0,013;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2016/03/QA-FO.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2016/03/PA-FO.pdf
Guaianazes;Guaianases;109089;8,6;7943;0,0744;0,059;34124;3,1;86987;5,81;0,713;0,013;0,016;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/08/QA-GU-.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/08/PA-GU-.pdf
Lajeado;Guaianases;173469;9,2;16213;0,0492;0,059;52863;7,6;86987;5,81;0,713;0,019;0,016;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/08/QA-GU-.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/08/PA-GU-.pdf
Cursino;Ipiranga;113347;12,8;2451;0,2671;0,2717;38413;6,6;167069;15,63;0,824;0,009;0,013;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-IP.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-IP.pdf
Ipiranga;Ipiranga;111744;10,5;2708;0,5905;0,2717;39599;3,4;167069;15,63;0,824;0,011;0,013;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-IP.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-IP.pdf
Sacomã;Ipiranga;262193;14,2;2175;0,1355;0,2717;89057;25;167069;15,63;0,824;0,018;0,013;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-IP.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-IP.pdf
